label,iri
atmosphere_soil_water__thornthwaite_potential_evapotranspiration_volume,((atmosphere@role~source_water@role~main_precipitation)@role~main_evapotranspiration)_(soil@role~source_water@role~main_evapotranspiration)__thornthwaite_potential_evapotranspiration_volume
atmosphere_water__leq_precipitation_volume_flux,atmosphere@role~source_water@role~main_precipitation__precipitation_leq_volume_flux
atmosphere_water__precipitation_leq_volume_flux,atmosphere@role~source_water@role~main_precipitation__precipitation_leq_volume_flux
atmosphere_water__precipitation_volume_flux,atmosphere@role~source_water@role~main_precipitation__precipitation_volume_flux
atmosphere_water__standardized_precipitation_wetness_index,atmosphere@role~source_water@role~main_precipitation__standardized_precipitation_wetness_index
channel~river__stage_height,channel~river@medium_water__stage_height
channel~river_land_subsurface_water__volume_flow_rate,channel~river@role~source_(land_subsurface)@role~sink_water@role~main_flowing__volume_flow_rate
channel~river_land_surface_water__volume_flow_rate,channel~river@role~source_(land_surface)@role~sink_water@role~main_flowing__volume_flow_rate
channel~river_water__downstream_volume_flow_rate,channel~river@context~in_(water@role~main_flowing)__downstream_volume_flow_rate
channel~river_water__upstream_volume_flow_rate,channel~river@context~in_(water@role~main_flowing)__upstream_volume_flow_rate
channel~stream_water__flow_duration_index,channel~stream@context~in_(water@role~main_flowing)__flow_duration_index
crop__seasonal_production_index,crop@role~main_production__seasonal_production_index
ground__preconsolidation_head,ground@role~main_preconsolidation__preconsolidation_head
ground__subsidence_length,ground@role~main_subsidence__subsidence_length
ground_interbed_system__areal_extent,ground@context~part_(interbed_system)__areal_extent
ground_interbed_system~delay__equivalent_thickness,ground@context~part_(interbed_system~delay)__equivalent_thickness
ground_interbed_system~delay__initial_compaction_volume-per-area_density,ground@context~part_((interbed_system~delay)@role~main_compaction)__initial_compaction_volume-per-area_density
ground_interbed_system~delay_water__initial_head,ground@context~part_((interbed_system~delay)@context~in_water)__initial_head
ground_interbed_system~delay_water__initial_preconsolidation_head,ground@context~part_(((interbed_system~delay)@role~main_preconsolidation)@context~in_water)__initial_preconsolidation_head
ground_interbed_system~no-delay__elastic_skeletal_storage_coefficient,ground@context~part_(interbed_system~no-delay)__elastic_skeletal_storage_coefficient
ground_interbed_system~no-delay__inelastic_skeletal_storage_coefficient,ground@context~part_(interbed_system~no-delay)__inelastic_skeletal_storage_coefficient
ground_interbed_system~no-delay__initial_compaction_volume-per-area_density,ground@context~part_((interbed_system~no-delay)@role~main_compaction)__initial_compaction_volume-per-area_density
ground_interbed_water__instantaneous_storage_volume,ground@context~part_(interbed@context~in_water)__instantaneous_storage_volume
ground_interbed~delay__compaction_length,ground@context~part_(interbed~delay@role~main_compaction)__compaction_length
ground_interbed~delay_water__critical_head,ground@context~part_(interbed~delay@context~in_water)__critical_head
ground_interbed~no-delay__compaction_length,ground@context~part_(interbed~no-delay@role~main_compaction)__compaction_length
ground_interbed~no-delay_water__critical_head,ground@context~part_(interbed~no-delay@context~in_water)__critical_head
ground_water~intercepted__volume-per-area_storage_density,ground@medium_water~intercepted__volume-per-area_storage_capacity
groundwater__constant_head,(land_surface)@context~below_(ground@context~in_water)__constant_head
groundwater__head,(land_surface)@context~below_(ground@context~in_water)__head
groundwater__horizontal_anisotropy_factor,ground@medium_water__horizontal_aniosotropy_factor
groundwater__horizontal_hydraulic_conductivity,ground@medium_water__horizontal_hydraulic_conductivity
groundwater__horizontal_transmissivity,ground@medium_water__horizontal_transmissivity
groundwater__initial_head,(land_surface)@context~below_(ground@context~in_water)__initial_head
groundwater__primary_storage_coefficient,ground@medium_water__primary_storage_coefficient
groundwater__recharge_volume_flux,(ground@medium_water)@role~main_water@role~in_recharge__recharge_volume_flux
groundwater__secondary_storage_coefficient,ground@medium_water__secondary_storage_coefficient
groundwater__vertical_hydraulic_conductivity,ground@medium_water__vertical_hydraulic_conductivity
groundwater_surface__reduction_of_elevation,ground@context~in_(water_surface)__reduction_of_elevation
groundwater_well__recharge_volume_flux,ground@role~source_well@role~sink_water@role~main_recharge__recharge_volume_flux
land_region_water__standardized_precipitation_evapotranspiration_drought_intensity_index,land@context~part_(region@context~at_(water@role~main_precipitation_evapotranspiration))_drought__standardized_precipitation_evapotranspiration_drought_intensity_index
land_subsurface_water__volume_flow_rate,(land_subsurface)@context~in_(water@role~main_flowing)__volume_flow_rate
land_surface_snow~intercepted__volume-per-area_storage_density,(land_surface)@context~on_snow~intercepted__volume-per-area_storage_capacity
land_surface_soil_water__evaporation_volume_flux,(soil_surface)@role~source_water@role~main_evaporation__evaporation_volume_flux
land_surface_soil_water__volume-per-area_storage_density,(soil_surface)@medium_water__volume-per-area_storage_capacity
land_surface_water__infiltration_volume_flux,(soil_surface)@role~sink_water@role~main_infiltration__infiltration_volume_flux
land_surface_water__potential_evapotranspiration_volume_flux,(land_surface)@role~source_water@role~main_evapotranspiration__potential_evapotranspiration_volume_flux
land_surface_water__transpiration_volume_flux,(land_surface)@role~source_water@role~main_transpiration__transpiration_volume_flux
land_surface_water__volume_flow_rate,(land_surface)@context~on_(water@role~main_flowing)__volume_flow_rate
land_surface_water~intercepted__evaporation_volume_flux,(land_surface)@role~source_water~intercepted@role~main_evaporation__evaporation_volume_flux
model__stress_period_count,model@context~in_water__stress_period_count
model__stress_period_duration,model@context~in_water__stress_period_duration
model__stress_period_time_step_count,model@context~in_water__stress_period_time_step_count
model__successive_time_step_multiplier,model__successive_time_step_multiplier
model_grid_cell_boundary_groundwater__interfacial_hydraulic_conductance,model@context~in_((grid@context~part_(cell_boundary))@context~at_(ground@medium_water))__interfacial_hydraulic_conductance
model_grid_cell_edge~along-column__length,model@context~in_(grid@context~part_(cell_edge~along-column))__length
model_grid_cell_edge~along-row__length,model@context~in_(grid@context~part_(cell_edge~along-row))__length
model_grid_cell~from-row-below_groundwater__volume_flux,model@context~in_((grid@context~part_cell)@role~sink_(grid@context~in_(ground@context~in_water))@role~main_flowing)__volume_flux
model_grid_column__count,model@context~in_(grid_column)__count
model_grid_layer__count,model@context~in_(grid_layer)__count
model_grid_layer_bottom__elevation,model@context~in_(grid_layer_bottom)__elevation
model_grid_layer_groundwater__vertical_displacement,model@context~in_((grid_layer)@context~in_((land_surface)@context~below_(ground@context~in_water)))__vertical_displacement
model_grid_layer~topmost_top__elevation,model@context~in_(grid_layer~topmost_top)__elevation
model_grid_row__count,model@context~in_(grid_row)__count
model_grid_layer_ground__compaction_length,model@context~in_((grid_layer)@context~in_(ground@role~main_compaction))__compaction_length
model_layer_ground__compaction_length,model@context~in_((grid_layer)@context~in_(ground@role~main_compaction))__compaction_length
soil_zone~vadose_water__volume-per-area_storage_density,(soil_unsat-zone)@medium_water__volume-per-area_storage_capacity
watershed_water_flow__geospatial_flood_depth_exceedance_index,watershed@context~in_(water@role~main_flowing)_flood__geospatial_flood_depth_exceedance_index