phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,attribute,part,abstraction,expressed-as,matter,form,role,body,process,trajectory,trajectory_direction,synonym,plural_of,wikipedia_page
,nitrate-as-nitrogen_leaching,nitrate-as-nitrogen,,,,,,nitrate-as-nitrogen,,,,leaching,,,,,
,nitrogen_accumulation,nitrogen,,,,,,nitrogen,,,,accumulation,,,,,
,nitrogen_application,nitrogen,,,,,,nitrogen,,,,application,,,,,
,nitrogen_mineralization,nitrogen,,,,,,nitrogen,,,,mineralization,,,,,
,nitrogen_immobilization,nitrogen,,,,,,nitrogen,,,,immobilization,,,,,
,orbit_aphelion,orbit_aphelion,,,,aphelion,,,,,,,orbit,,,,
,orbit_perihelion,orbit_perihelion,,,,perihelion,,,,,,,orbit,,,,
,outlet_center,outlet_center,,,,center,,,,outlet,,,,,,,
,outlet_side~left,outlet_side~left,,,side~left,,,,,outlet,,,,,,,
,outlet_side~right,outlet_side~right,,,side~right,,,,,outlet,,,,,,,
,outlet_top,outlet_top,,,top,,,,,outlet,,,,,,,
,outlet_x-section,outlet_x-section,,,,x-section,,,,outlet,,,,,,,
,particle_motion,particle_motion,,,,,,,particle,,,motion,,,,,
,particle_motion_acceleration,particle_motion,,,,,,,particle,,,"motion, acceleration",,,,,
,piston_stroking,piston,,,,,,,,,piston,stroking,,,,,
,plain_boundary,plain_boundary,,,,boundary,,,,,plain,,,,,,
,plain~upper_boundary~seaward,plain~upper_boundary~seaward,,,,boundary~seaward,,,,,plain~upper,,,,,,
,plant_residue,plant_residue,,,,,,,,residue,plant,,,,,,
,projectile_acceleration,projectile,,,,,,,,projectile,,acceleration,,,,,
,projectile_dragging,projectile,,,,,,,,projectile,,dragging,,,,,
,projectile_firing,projectile,,,,,,,,projectile,,firing,,,,,
,projectile_flight,projectile,,,,,,,,projectile,,flight,,,,,
,projectile_impaction,projectile,,,,,,,,projectile,,impaction,,,,,
,projectile_lift,projectile,,,,,,,,projectile,,lift,,,,,
,projectile_rolling_rotation,projectile,,,,,,,,projectile,,"rolling, rotation",,,,,
,projectile_shaft,projectile_shaft,,,shaft,,,,,projectile,,,,,,,
,projectile_shaft_x-section,projectile_shaft_x-section,projectile_shaft,,,x-section,,,,,,,,,,,
,projectile_trajectory,projectile,,,,,,,,projectile,,,trajectory,,,,
,projectile_trajectory_origin,projectile_trajectory_origin,projectile_trajectory,,,origin,,,,,,,,,,,
,projectile_trajectory_target,projectile_trajectory_target,projectile_trajectory,,,target,,,,,,,,,,,
,projectile_x-section,projectile_x-section,,,,x-section,,,,projectile,,,,,,,
,radiation_optical-path,radiation,radiation,,,,,,,,,,optical-path,,,,
,radiation~incoming,radiation~incoming,radiation,,,,,,,,,,,incoming,,,
,radiation~incoming~longwave,radiation~incoming~longwave,radiation~longwave,,,,,,,,,,,incoming,,,
,radiation~incoming~shortwave,radiation~incoming~shortwave,radiation~shortwave,,,,,,,,,,,incoming,,,
,radiation~incoming~visible,radiation~incoming~visible,radiation~visible,,,,,,,,,,,incoming,,,
,radiation~outgoing,radiation~outgoing,radiation,,,,,,,,,,,outgoing,,,
,radiation~outgoing~longwave,radiation~outgoing~longwave,radiation~longwave,,,,,,,,,,,outgoing,,,
,radiation~outgoing~longwave~downward,radiation~outgoing~longwave~downward,radiation~longwave,,,,,,,,,,,"outgoing, downward",,,
,radiation~outgoing~longwave~upward,radiation~outgoing~longwave~upward,radiation~longwave,,,,,,,,,,,"outgoing, upward",,,
,radiation~outgoing~shortwave,radiation~outgoing~shortwave,radiation~shortwave,,,,,,,,,,,outgoing,,,
,radiation~incoming~shortwave~diffuse,radiation~incoming~shortwave~diffuse,radiation~shortwave~diffuse,,,,,,,,,,,incoming,,,
,radiation~incoming~shortwave~direct,radiation~incoming~shortwave~direct,radiation~shortwave~direct,,,,,,,,,,,incoming,,,
,radiation~longwave~downwelling,radiation~longwave~downwelling,radiation~longwave,,,,,,,,,,,downwelling,,,
,radiation~longwave~downward,radiation~longwave~downward,radiation~longwave,,,,,,,,,,,downward,,,
,radiation~shortwave~downwelling,radiation~shortwave~downwelling,radiation~shortwave,,,,,,,,,,,downwelling,,,
,railway_curve,railway_curve,,,,curve,,,,,railway,,,,,,
,raindrop_falling,raindrop,,,,,,,,,raindrop,falling,,,,,
,rainfall,rainfall,,,,,,water,,,,precipitation,,,rain,,https://en.wikipedia.org/wiki/Rain
,residue_pool,residue_pool,,,,,,,pool,residue,,,,,,,
,residue_pool_decomposition,residue_pool,residue_pool,,,,,,,,,decomposition,,,,,
,residue-as-carbon_decomposition,residue-as-carbon,residue-as-carbon,,,,,,,,,decomposition,,,,,
,residue-as-carbon,residue-as-carbon,,,,,carbon,,,residue,,,,,,,
,crop_residue_pool_decomposition,crop_residue_pool_decomposition,crop@context~source_(residue_pool),,,,,,,,,decomposition,,,,,
,roots-and-rhizodeposits_production,roots-and-rhizodeposits,,,,,,,,,roots-and-rhizodeposits,production,,,,,
,roots-and-rhizodeposits-as-carbon_decomposition,roots-and-rhizodeposits-as-carbon,,,,,,,,,roots-and-rhizodeposits-as-carbon,decomposition,,,,,
,rockfall,rockfall,,,,,,rock,,,,falling,,,,,
,rupture,rupture,,,,,,,,,,rupture,,,,,
,sand_grain_settling,sand_grain,,,,,,,,,sand_grain,settling,,,,,
,saturn_rising,saturn,,,,,,,,,saturn,rising,,,,,
,saturn_setting,saturn,,,,,,,,,saturn,setting,,,,,
,scuba-diver_diving,scuba-diver,,,,,,,,scuba-diver,,diving,,,,,
,sea_bottom_surface,sea_bottom_surface,,,,surface,,,,,sea_bottom,,,,,,
,sea_surface,sea_surface,,,,surface,,,,,sea,,,,,,
,sediment_deposition,sediment,,,,,,sediment,,,,deposition,,,,,
,seismograph_shaking,seismograph,,,,,,,,,seismograph,shaking,,,,,
,shoreline_progradation,shoreline,,,,shoreline,,,,,,progradation,,,,,
,slip~seismic,slip~seismic,,,,,,,,,,slip~seismic,,,,,
,snow_blowing,snow,,,,,,snow,,,,blowing,,,,,
,snow_desublimation,snow,,,,,,snow,,,,desublimation,,,,,
,snow_isobaric-process,snow,,,,,,snow,,,,isobaric-process,,,,,
,snow_isochoric-process,snow,,,,,,snow,,,,isochoric-process,,,,,
,snow_melting,snow,,,,,,snow,,,,melting,,,,,
,snow-or-ice_melting,snow-or-ice,,,,,,snow-or-ice,,,,melting,,,,,
,snow_sublimation,snow,,,,,,snow,,,,sublimation,,,,,
,snowfall,snowfall,,,,,,snow,,,,precipitation,,,,,https://en.wikipedia.org/wiki/Snow
,snowpack_isentropic-process,snowpack,,,,,,,,,snowpack,isentropic-process,,,,,
,snowpack_isobaric-process,snowpack,,,,,,,,,snowpack,isobaric-process,,,,,
,snowpack_isothermal-process,snowpack,,,,,,,,,snowpack,isothermal-process,,,,,
,snowpack_surface,snowpack_surface,,,,surface,,,,,snowpack,,,,,,
,snowpack_top_surface,snowpack_top_surface,,,,surface,,,,,snowpack_top,,,,,,
,soil_decomposition,soil,,,,,,soil,,,,decomposition,,,,,
,soil~stabilized_decomposition,soil~stabilized,,,,,,soil~stabilized,,,,decomposition,,,,,
,soil_freezing,soil,,,,,,soil,,,,freezing,,,,,
,soil_isobaric-process,soil,,,,,,soil,,,,isobaric-process,,,,,
,soil_isochoric-process,soil,,,,,,soil,,,,isochoric-process,,,,,
,soil_sat-zone_top_surface,soil_sat-zone_top_surface,,,,surface,,,,,soil_sat-zone_top,,,,,,
,soil_profile_bottom,soil_profile_bottom,,,,profile_bottom,,soil,,,,,,,,,
,soil_surface,soil_surface,,,,surface,,soil,,,,,,,,,
,soil_thaw,soil,,,,,,soil,,,,thaw,,,,,
,soil_nitrification,soil,,,,,,soil,,,,nitrification,,,,,
,soil_denitrification,soil,,,,,,soil,,,,denitrification,,,,,
,soil_x-section~horizontal,soil_x-section~horizontal,,,,x-section~horizontal,,soil,,,,,,,,,
,soil_x-section~vertical,soil_x-section~vertical,,,,x-section~vertical,,soil,,,,,,,,,
,substrates~organic_decomposition,substrates~organic,,,,,,,,substrates~organic,,decomposition,,,,,
,sun_rising,sun,,,,,,,,,sun,rising,,,,,
,sun_setting,sun,,,,,,,,,sun,setting,,,,,
,tank~storage~open-top_x-section~horizontal,tank~storage~open-top_x-section~horizontal,,,,x-section~horizontal,,,,,tank~storage~open-top,,,,,,
,tank~storage~open-top_x-section~horizontal_circle,tank~storage~open-top_x-section~horizontal_circle,tank~storage~open-top_x-section~horizontal,,,circle,,,,,,,,,,,
,tile_isochoric-process,tile,,,,,,,,,tile,isochoric-process,,,,,
,tire_inflation,tire,,,,,,,,,tire,inflation,,,,,
,trajectory_origin,trajectory_origin,,,,origin,,,,,,,trajectory,,,,
,trajectory_target,trajectory_target,,,,target,,,,,,,trajectory,,,,
,uranus_rising,uranus,,,,,,,,,uranus,rising,,,,,
,uranus_setting,uranus,,,,,,,,,uranus,setting,,,,,
,valley_centerline,valley_centerline,,,,centerline,,,valley,,,,,,,,
,venus_axis,venus_axis,,,,axis,,,,,venus,,,,,,
,venus_ecliptic,venus_ecliptic,,,,ecliptic,,,,,venus,,,,,,
,venus_orbit,venus,,,,,,,,,venus,,orbit,,,,
,venus_orbit_aphelion,venus_orbit_aphelion ,venus_orbit,,,aphelion,,,,,,,,,,,
,venus_orbit_perihelion,venus_orbit_perihelion ,venus_orbit,,,perihelion,,,,,,,,,,,
,venus_rising,venus,,,,,,,,,venus,rising,,,,,
,venus_setting,venus,,,,,,,,,venus,setting,,,,,
,virus~chicken-pox_incubation,virus~chicken-pox,,,,,,,,,virus~chicken-pox,incubation,,,,,
,water_baseflow,water,,,,,,water,,,,baseflow,,,,,
,water_current~longshore,current~longshore,,,,,,water,,,,current~longshore,,,,,
,water_current~rip,rip-current,,,,,,water,,,,current~rip,,,,,
,water_current~rip_flowing,current~rip_flow,water_current~rip,,,,,,,,,flowing,,,,,
,water_current~rip_neck,rip-current_neck,water_current~rip,,neck,,,,,,,,,,,,
,water_discharging,water,,,,,,water,,,,discharging,,,,,
,water_draining,water,,,,,,water,,,,draining,,,,,
,water_eddy,water,,,,,,water,,,,eddy,,,,,
,water_evaporation,water,,,,,,water,,,,evaporation,,,,,
,water_evapotranspiration,water,,,,,,water,,,,evapotranspiration,,,,,
,water_flow~incoming-and-outgoing,water~incoming-and-outgoing,,,,,,water,,,,flowing,,"incoming, outgoing",,,
,water_flowing,water_flow,,,,,,water,,,,flowing,,,,,
,water_flowing_friction,water_flow,,,,,,water,,,,"flowing, friction",,,,,
,water_flowing_x-section,water_flow,water_flowing,,,x-section,,,,,,,,,,,
,water_flowing_x-section_top,water_flow,water_flowing_x-section,,top,,,,,,,,,,,,
,water_flowing~incoming,water_flow~incoming,,,,,,water,,,,flowing,,incoming,,,
,water_flowing~outgoing,water_flow~outgoing,,,,,,water,,,,flowing,,outgoing,,,
frost-front,water_frost-front,water_frost-front,,,,,,water,,,,,,,,,
,water_fusion,water,,,,,,water,,,,fusion,,,,,
hydraulic-jump,water_hydraulic-jump,water_hydraulic-jump,,,,,,water,,,,,,,,,
,water_isentropic-process,water,,,,,,water,,,,isentropic-process,,,,,
,water_isobaric-process,water,,,,,,water,,,,isobaric-process,,,,,
,water_isochoric-process,water,,,,,,water,,,,isochoric-process,,,,,
,water_isothermal-process,water,,,,,,water,,,,isothermal-process,,,,,
,water_ponding,water,,,,,,water,,,,ponding,,,,,
,water_runoff,water,,,,,,water,,,,runoff,,,,,
,water_sublimation,water,,,,,,water,,,,sublimation,,,,,
,water_surface,water_surface,,,,surface,,water,,,,,,,,,
,water_surging,water,,,,,,water,,,,surging,,,,,
tide,water_tide,water_tide,,,,,,water,,,,,,,,,
,water_tide_constituent~2mk3,water_tide_constituent~2mk3,water_tide,,constituent~2mk3,,,,,,,,,,,,
,water_tide_constituent~2mk3_amphidromic-points,water_tide_constituent~2mk3_amphidromic-points,water_tide_constituent~2mk3,,,amphidromic-points,,,,,,,,,,,
,water_tide_constituent~2n2,water_tide_constituent~2n2,water_tide,,constituent~2n2,,,,,,,,,,,,
,water_tide_constituent~2q1,water_tide_constituent~2q1,water_tide,,constituent~2q1,,,,,,,,,,,,
,water_tide_constituent~2sm2,water_tide_constituent~2sm2,water_tide,,constituent~2sm2,,,,,,,,,,,,
,water_tide_constituent~j1,water_tide_constituent~j1,water_tide,,constituent~j1,,,,,,,,,,,,
,water_tide_constituent~k1,water_tide_constituent~k1,water_tide,,constituent~k1,,,,,,,,,,,,
,water_tide_constituent~k2,water_tide_constituent~k2,water_tide,,constituent~k2,,,,,,,,,,,,
,water_tide_constituent~l2,water_tide_constituent~l2,water_tide,,constituent~l2,,,,,,,,,,,,
,water_tide_constituent~lam2,water_tide_constituent~lam2,water_tide,,constituent~lam2,,,,,,,,,,,,
,water_tide_constituent~m1,water_tide_constituent~m1,water_tide,,constituent~m1,,,,,,,,,,,,
,water_tide_constituent~m2,water_tide_constituent~m2,water_tide,,constituent~m2,,,,,,,,,,,,
,water_tide_constituent~m3,water_tide_constituent~m3,water_tide,,constituent~m3,,,,,,,,,,,,
,water_tide_constituent~m4,water_tide_constituent~m4,water_tide,,constituent~m4,,,,,,,,,,,,
,water_tide_constituent~m6,water_tide_constituent~m6,water_tide,,constituent~m6,,,,,,,,,,,,
,water_tide_constituent~m8,water_tide_constituent~m8,water_tide,,constituent~m8,,,,,,,,,,,,
,water_tide_constituent~mf,water_tide_constituent~mf,water_tide,,constituent~mf,,,,,,,,,,,,
,water_tide_constituent~mk3,water_tide_constituent~mk3,water_tide,,constituent~mk3,,,,,,,,,,,,
,water_tide_constituent~mm,water_tide_constituent~mm,water_tide,,constituent~mm,,,,,,,,,,,,
,water_tide_constituent~mn4,water_tide_constituent~mn4,water_tide,,constituent~mn4,,,,,,,,,,,,
,water_tide_constituent~ms4,water_tide_constituent~ms4,water_tide,,constituent~ms4,,,,,,,,,,,,
,water_tide_constituent~msf,water_tide_constituent~msf,water_tide,,constituent~msf,,,,,,,,,,,,
,water_tide_constituent~mu2,water_tide_constituent~mu2,water_tide,,constituent~mu2,,,,,,,,,,,,
,water_tide_constituent~n2,water_tide_constituent~n2,water_tide,,constituent~n2,,,,,,,,,,,,
,water_tide_constituent~nu2,water_tide_constituent~nu2,water_tide,,constituent~nu2,,,,,,,,,,,,
,water_tide_constituent~o1,water_tide_constituent~o1,water_tide,,constituent~o1,,,,,,,,,,,,
,water_tide_constituent~oo1,water_tide_constituent~oo1,water_tide,,constituent~oo1,,,,,,,,,,,,
,water_tide_constituent~oo2,water_tide_constituent~oo2,water_tide,,constituent~oo2,,,,,,,,,,,,
,water_tide_constituent~p1,water_tide_constituent~p1,water_tide,,constituent~p1,,,,,,,,,,,,
,water_tide_constituent~q1,water_tide_constituent~q1,water_tide,,constituent~q1,,,,,,,,,,,,
,water_tide_constituent~r2,water_tide_constituent~r2,water_tide,,constituent~r2,,,,,,,,,,,,
,water_tide_constituent~rho,water_tide_constituent~rho,water_tide,,constituent~rho,,,,,,,,,,,,
,water_tide_constituent~s1,water_tide_constituent~s1,water_tide,,constituent~s1,,,,,,,,,,,,
,water_tide_constituent~s2,water_tide_constituent~s2,water_tide,,constituent~s2,,,,,,,,,,,,
,water_tide_constituent~s4,water_tide_constituent~s4,water_tide,,constituent~s4,,,,,,,,,,,,
,water_tide_constituent~s6,water_tide_constituent~s6,water_tide,,constituent~s6,,,,,,,,,,,,
,water_tide_constituent~sa,water_tide_constituent~sa,water_tide,,constituent~sa,,,,,,,,,,,,
,water_tide_constituent~ssa,water_tide_constituent~ssa,water_tide,,constituent~ssa,,,,,,,,,,,,
,water_tide_constituent~t2,water_tide_constituent~t2,water_tide,,constituent~t2,,,,,,,,,,,,
,water_tide_constituents~all,water_tide_constituents~all,water_tide,,constituents~all,,,,,,,,,,,,
,water_vaporization,water,,,,,,water,,,,vaporization,,,,,
wave,water_wave,water_wave,,,,,,water,,,,,,,,,
,water_wave_crest,water_wave_crest,water_wave,,,crest,,,,,,,,,,,
,water_wave_crest_x-section,water_wave_crest_x-section,water_wave_crest,,,x-section,,,,,,,,,,,
,water_wave_crest_x-section_vertex,water_wave_crest_x-section_vertex,water_wave_crest_x-section,,,vertex,,,,,,,,,,,
,water_wave_crestline,water_wave_crestline,water_wave,,,crestline,,,,,,,,,,,
,water_wave_orbit,water_wave_orbit,water_wave,,,,,,,,,,orbit,,,,
,water_wave_ray,water_wave_ray,water_wave,,,ray,,,,,,,,,,,
wave~breaking,water_wave~breaking,water_wave~breaking,,,,,,water,,,,,,,,,
wave~gravity~internal,water_wave~gravity~internal,water_wave~gravity~internal,,,,,,water,,,,,,,,,
wetting-front,water_wetting-front,water_wetting-front,,,,,,water,,,,,,,,,
,water_x-section,water_x-section,,,,x-section,,water,,,,,,,,,
,water_x-section_top,water_x-section_top,water_x-section,,top,,,,,,,,,,,,
,wave~incoming,wave~incoming,wave,,,,,,,,,,,incoming,,,
,wave~incoming~deepwater,wave~incoming~deepwater,wave~deepwater,,,,,,,,,,,incoming,,,