role_taxonomic,role_id,role_label,expressed-as,attribute,synonym,plural_of,wikipedia_page,,,,,,,,
,byproduct,byproduct,,,,,https://en.wikipedia.org/wiki/By-product,,,,,,,,
,cargo,cargo,,,,,https://en.wikipedia.org/wiki/Cargo,,,,,,,,
,cover,cover,,,,,,,,,,,,,
,crop,crop,,,,,https://en.wikipedia.org/wiki/Crop,,,,,,,,
"crop, weed",crop-or-weed,crop-or-weed,,,,,,,,,,,,,
crop,crop~mature~dry,crop~mature~dry,,"mature, dry",,,,,,,,,,,
,crops,crops,,,,crop,,,,,,,,,
,debris,debris,,,,,http://en.wikipedia.org/wiki/Debris,,,,,,,,
,degradate,degradate,,,,,,,,,,,,,
,degradates,degradates,,,,degradate,,,,,,,,,
,deposit,deposit,,,,,https://en.wikipedia.org/wiki/Deposition_(geology),,,,,,,,
,diver,diver,,,,,https://en.wikipedia.org/wiki/Diver,,,,,,,,
,driver,driver,,,,,https://en.wiktionary.org/wiki/driver#Noun,,,,,,,,
,entrance,entrance,,,,,https://en.wikipedia.org/wiki/Entrance,,,,,,,,
entrance,entrance~wetted,entrance~wetted,,wetted,,,,,,,,,,,
,exit,exit,,,,,https://en.wikipedia.org/wiki/Exit,,,,,,,,
,farmer,farmer,,,agriculturer,,https://en.wikipedia.org/wiki/Farmer,,,,,,,,
,filter,filter,,,,,https://en.wikipedia.org/wiki/Filtration,,,,,,,,
filter,filter~particulate,filter~particulate,,particulate,air_filter,,https://en.wikipedia.org/wiki/Air_filter,,,,,,,,
,fertilizer,fertilizer,,,,,https://en.wikipedia.org/wiki/Fertilizer,,,,,,,,
fertilizer,fertilizer~applied-as-nitrogen,fertilizer~applied-as-nitrogen,nitrogen,applied,,,,,,,,,,,
,forage,forage,,,,,https://en.wikipedia.org/wiki/Forage,,,,,,,,
"forage, residue~removed",forage-or-residue~removed,forage-or-residue~removed,,,,,,,,,,,,,
,garbage,garbage,,,"trash, rubbish, refuse, waste",,https://en.wikipedia.org/wiki/Garbage,,,,,,,,
,litter,litter,,,,,https://en.wikipedia.org/wiki/Litter,,,,,,,,
,outlet,outlet,,,,,https://en.wiktionary.org/wiki/outlet#Noun,,,,,,,,
outlet,outlet~terminal,outlet~terminal,,terminal,,,,,,terminal,,,,,
,payload,payload,,,,,http://en.wikipedia.org/wiki/Payload,,,,,,,,
,product,product,,,,,https://en.wikipedia.org/wiki/Product_(chemistry),,,,,,,,
,products,products,,,,product,,,,,,,,,
,projectile,projectile,,,,,http://en.wikipedia.org/wiki/Projectile,,,,,,,,
,residue,residue,,,,,https://en.wikipedia.org/wiki/Crop_residue,,,,,,,,
residue,residue~remaining,residue~remaining,,remaining,,,,,,,,,,,
residue,residue~retained,residue~retained,,retained,,,,,,,,,,,
residue,residue~removed,residue~removed,,removed,,,,,,,,,,,
residue,residue~standing,residue~standing,,standing,,,,,,,,,,,
,scatterer,scatterer,,,,,https://en.wikipedia.org/wiki/Scattering,,,,,,,,
,scatterers,scatterers,,,,scatterer,,,,,,,,,
diver,scuba-diver,scuba-diver,,,,,https://en.wikipedia.org/wiki/Scuba_diving,,,,,,,,
,sink,sink,,,,,https://en.wiktionary.org/wiki/sink#Noun,,,,,,,,
diver,skydiver,skydiver,,,,,https://en.wikipedia.org/wiki/Parachuting,,,,,,,,
,solvent,solvent,,,,,https://en.wikipedia.org/wiki/Solvent,,,,,,,,
,source,source,,,,,https://en.wiktionary.org/wiki/source#Noun,,,,,,,,
source,source~of-water,source~of-water,,,,,,,,,,,,,
,sources,sources,,,,source,https://en.wiktionary.org/wiki/source#Noun,,,,,,,,
,substrate,substrate,,,,,,,,,,,,,
,substrates,substrates,,,,substrate,,,,,,,,,
substrates,substrates~organic,substrates~organic,,organic,,,,,,,,,,,
,target,target,,,,,https://en.wikipedia.org/wiki/Target,,,,,,,,
,waste,waste,,,,,https://en.wikipedia.org/wiki/Waste,,,,,,,,
,weed,weed,,,,,https://en.wikipedia.org/wiki/Weed,,,,,,,,